joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque 1[Nm], DOB Torque 2[Nm], current_time
1.21788,1.21661,-0.000249384,-7.43514e-11,1.49218,3.02859,23.0563,0.24
1.21788,1.21661,-0.000257671,-4.13063e-11,1.47173,2.98848,23.0563,0.244
1.21788,1.21661,-0.000266091,-2.2948e-11,1.45092,2.94766,23.0563,0.248
1.21788,1.21661,-0.000274642,-1.27489e-11,1.42976,2.90613,23.0563,0.252
1.21788,1.21661,-0.000283326,-7.0827e-12,1.40824,2.8639,23.0563,0.256
1.21787,1.21661,-0.000292142,-3.93484e-12,1.38637,2.82095,23.0563,0.26
1.21787,1.21661,-0.000301089,-2.18602e-12,1.36414,2.7773,23.0563,0.264
1.21787,1.21661,-0.000310168,-1.21446e-12,1.34156,2.73293,23.0563,0.268
1.21787,1.21661,-0.000319378,-6.74697e-13,1.31862,2.68785,23.0563,0.272
1.21787,1.21661,-0.00032872,-3.74832e-13,1.29532,2.64205,23.0563,0.276
1.21787,1.21661,-0.000338192,-2.0824e-13,1.27166,2.59555,23.0563,0.28
1.21787,1.21661,-0.000347796,-1.15689e-13,1.24765,2.54832,23.0563,0.284
1.21787,1.21661,-0.00035753,-6.42716e-14,1.22327,2.50038,23.0563,0.288
1.21786,1.21661,-0.000367395,-3.57064e-14,1.19854,2.45171,23.0563,0.292
1.21786,1.21661,-0.00037739,-1.98369e-14,1.17344,2.40233,23.0563,0.296
1.21786,1.21661,-0.000387516,-1.10205e-14,1.14799,2.35223,23.0563,0.3
1.21786,1.21661,-0.000397772,-6.1225e-15,1.12217,2.30141,23.0562,0.304
1.21786,1.21661,-0.000408158,-3.83879e-05,1.18358,2.33747,23.0563,0.308
1.21786,1.21661,-0.000418674,-2.13266e-05,1.11836,2.28544,23.0563,0.312
1.21785,1.21661,-0.00042932,2.65398e-05,0.982378,2.12779,23.0563,0.316
1.21785,1.21661,-0.000440095,1.47443e-05,0.981854,2.05481,23.0563,0.32
1.21785,1.21661,-0.000450999,8.19129e-06,0.969081,2.00155,23.0563,0.324
1.21785,1.21661,-0.000462033,4.55072e-06,0.949341,1.95364,23.0563,0.328
1.21785,1.21661,-0.000473197,2.52818e-06,0.925568,1.90544,23.0563,0.332
1.21785,1.21661,-0.000484489,1.40454e-06,0.899392,1.85513,23.0563,0.336
1.21784,1.21661,-0.00049591,7.80301e-07,0.871717,1.80241,23.0563,0.34
1.21784,1.21661,-0.000507459,4.33501e-07,0.843048,1.74753,23.0563,0.344
1.21784,1.21661,-0.000519137,-3.81471e-05,0.901254,1.77845,23.0563,0.348
1.21784,1.21661,-0.000530944,-2.11928e-05,0.832627,1.72051,23.0563,0.352
1.21784,1.21661,-0.000542879,2.66141e-05,0.693124,1.55643,23.0563,0.356
1.21783,1.21661,-0.000554942,-2.36023e-05,0.776608,1.5643,23.0563,0.36
1.21783,1.21661,-0.000567132,-1.31124e-05,0.721532,1.50429,23.0563,0.364
1.21783,1.21661,-0.000579451,-7.28465e-06,0.676657,1.4322,23.0562,0.368
1.21783,1.21661,-0.000591897,-4.04703e-06,0.637284,1.35777,23.0562,0.372
1.21782,1.21661,-0.000604471,3.61395e-05,0.513212,1.1967,23.0563,0.376
1.21782,1.21661,-0.000617172,-1.83104e-05,0.604447,1.21228,23.0562,0.38
1.21782,1.21661,-0.00063,-1.01724e-05,0.552852,1.15918,23.0562,0.384
1.21782,1.21661,-0.000642956,-5.65135e-06,0.509087,1.09164,23.0563,0.388
1.21781,1.21661,-0.000656038,-3.13964e-06,0.469505,1.01941,23.0563,0.392
1.21781,1.21661,-0.000669247,-1.74424e-06,0.432082,0.946252,23.0563,0.396
1.21781,1.21661,-0.000682583,-9.69024e-07,0.395691,0.873377,23.0563,0.4
1.21781,1.21661,-0.000696045,-5.38347e-07,0.359708,0.800952,23.0563,0.404
1.2178,1.21661,-0.000709633,-2.99082e-07,0.323786,0.728791,23.0563,0.408
1.2178,1.21661,-0.000723347,-1.66156e-07,0.28773,0.656638,23.0562,0.412
1.2178,1.21661,-0.000737188,-9.23091e-08,0.251433,0.584261,23.0563,0.416
1.21779,1.21661,-0.000751154,-5.12828e-08,0.214835,0.511487,23.0563,0.42
1.21779,1.21661,-0.000765246,-2.84905e-08,0.177902,0.438191,23.0563,0.424
1.21779,1.21661,-0.000779464,-1.5828e-08,0.140616,0.364289,23.0563,0.428
1.21778,1.21661,-0.000793807,-8.79335e-09,0.102966,0.289725,23.0563,0.432
1.21778,1.21661,-0.000808275,-4.8852e-09,0.0649464,0.214464,23.0563,0.436
1.21778,1.21661,-0.000822869,-2.714e-09,0.0265525,0.138483,23.0563,0.44
1.21777,1.21661,-0.000837587,-1.50778e-09,-0.0122175,0.0617672,23.0563,0.444
1.21777,1.21661,-0.00085243,-8.37654e-10,-0.0513649,-0.0156923,23.0563,0.448
1.21777,1.21661,-0.000867398,-4.65363e-10,-0.0908908,-0.0939015,23.0563,0.452
1.21776,1.21661,-0.000882491,-2.58535e-10,-0.130796,-0.172865,23.0563,0.456
1.21776,1.21661,-0.000897707,-1.43631e-10,-0.171081,-0.252584,23.0563,0.46
1.21776,1.21661,-0.000913048,-7.97948e-11,-0.211747,-0.333062,23.0563,0.464
1.21775,1.21661,-0.000928513,-4.43304e-11,-0.252793,-0.4143,23.0563,0.468
1.21775,1.21661,-0.000944102,-2.4628e-11,-0.294221,-0.4963,23.0563,0.472
1.21775,1.21661,-0.000959815,-1.36822e-11,-0.336031,-0.579062,23.0563,0.476
1.21774,1.21661,-0.000975652,-3.83879e-05,-0.290632,-0.574981,23.0563,0.48
1.21774,1.21661,-0.000991611,-2.13266e-05,-0.371889,-0.659037,23.0563,0.484
1.21773,1.21661,-0.00100769,-1.18481e-05,-0.436337,-0.761151,23.0563,0.488
1.21773,1.21661,-0.0010239,-6.58229e-06,-0.491618,-0.866,23.0563,0.492
1.21773,1.21661,-0.00104023,3.47311e-05,-0.629569,-1.05607,23.0563,0.496
1.21772,1.21661,-0.00105668,1.9295e-05,-0.638684,-1.15543,23.0563,0.5
1.21772,1.21661,-0.00107326,1.07195e-05,-0.663739,-1.23468,23.0563,0.504
1.21771,1.21661,-0.00108996,5.95526e-06,-0.69782,-1.31,23.0563,0.508
1.21771,1.21661,-0.00110678,3.30848e-06,-0.737088,-1.38733,23.0563,0.512
1.2177,1.21661,-0.00112372,-3.65499e-05,-0.691818,-1.38064,23.0563,0.516
1.2177,1.21661,-0.00114078,-2.03055e-05,-0.77469,-1.46485,23.0563,0.52
1.2177,1.21661,-0.00115797,-1.12808e-05,-0.84158,-1.56931,23.0563,0.524
1.21769,1.21661,-0.00117528,-6.26712e-06,-0.899765,-1.6781,23.0563,0.528
1.21769,1.21661,-0.00119271,-3.48173e-06,-0.953286,-1.78559,23.0563,0.532
1.21768,1.21661,-0.00121026,-1.9343e-06,-1.00439,-1.89046,23.0563,0.536
1.21768,1.21661,-0.00122793,-1.07461e-06,-1.05432,-1.99298,23.0563,0.54
1.21767,1.21661,-0.00124573,-5.97005e-07,-1.10378,-2.09385,23.0563,0.544
1.21767,1.21661,-0.00126364,-3.3167e-07,-1.15315,-2.19375,23.0563,0.548
1.21766,1.21661,-0.00128168,-1.84261e-07,-1.20264,-2.29326,23.0563,0.552
1.21766,1.21661,-0.00129984,-1.02367e-07,-1.25237,-2.39278,23.0563,0.556
1.21765,1.21661,-0.00131812,-5.68706e-08,-1.30241,-2.49258,23.0563,0.56
1.21765,1.21661,-0.00133651,-3.15948e-08,-1.3528,-2.59285,23.0563,0.564
1.21764,1.21661,-0.00135503,-1.75527e-08,-1.40355,-2.69371,23.0563,0.568
1.21763,1.21661,-0.00137367,-3.83977e-05,-1.36709,-2.70764,23.0563,0.572
1.21763,1.21661,-0.00139243,1.70559e-05,-1.54489,-2.89725,23.0563,0.576
1.21762,1.21661,-0.00141131,9.47548e-06,-1.5796,-3.01753,23.0563,0.58
1.21762,1.21661,-0.00143031,-3.31237e-05,-1.53476,-3.03564,23.0563,0.584
